Week Purified Store Spring Store Distilled Store Carbonated Store Artesian Store Mineral Store
9/26/09 1,215,953 17,522 281,805 2,521 47,693 437 22,789 206 9,749 108 3,777 28
10/3/09 1,102,021 14,258 240,806 1,925 41,905 720 21,145 181 10,488 121 3,583 23
10/10/09 1,065,002 8,773 229,045 2,828 37,721 214 19,495 202 9,994 60 3,282 35
10/17/09 988,062 14,419 218,303 1,806 39,660 368 23,438 210 8,786 48 3,916 55
10/24/09 935,402 6,444 213,490 3,217 35,273 397 20,114 152 8,264 84 4,023 46
10/31/09 1,070,735 13,593 245,468 2,922 36,963 388 22,373 200 10,200 125 4,040 42
11/7/09 1,137,184 5,384 258,767 3,492 36,437 399 22,048 264 10,862 108 3,873 34
11/14/09 991,001 8,060 218,020 1,214 30,993 601 21,820 247 8,726 49 3,313 4
11/21/09 995,644 10,238 207,234 3,187 29,182 43 25,971 203 9,246 101 3,696 46
11/28/09 917,557 8,912 207,067 2,242 29,875 355 21,243 229 7,943 87 3,583 32
12/5/09 948,530 7,821 212,249 1,843 30,015 547 20,705 220 9,216 72 3,469 43
12/12/09 959,575 9,159 201,459 1,643 29,703 17 21,371 227 8,542 105 3,335 33
12/19/09 902,568 13,013 183,245 1,579 26,544 503 23,836 315 7,976 124 3,660 23
12/26/09 1,100,593 13,344 203,160 2,417 29,540 209 24,028 246 8,249 120 4,072 11
1/2/10 1,195,212 9,593 226,766 1,671 28,005 49 22,035 172 8,755 47 3,538 40
1/9/10 1,204,984 13,260 227,529 1,297 30,986 227 23,376 287 9,750 74 4,975 30
1/16/10 1,099,458 11,494 225,052 1,392 32,572 456 23,895 225 10,284 100 3,109 44
1/23/10 1,231,163 14,337 254,123 2,064 30,362 232 24,175 267 10,212 137 4,172 44
1/30/10 958,367 7,903 190,439 919 28,031 361 21,439 207 8,247 119 3,308 37
2/6/10 1,051,452 13,317 227,115 3,644 31,041 479 22,709 269 10,868 111 4,218 34
2/13/10 1,071,823 10,908 206,238 2,473 32,504 212 22,907 250 10,745 35 3,839 22
2/20/10 1,084,611 10,632 221,527 2,402 35,893 360 22,891 200 10,772 142 4,397 39
2/27/10 1,176,642 13,023 243,356 2,296 36,996 357 25,113 249 11,524 70 4,309 43
3/6/10 1,250,974 11,947 295,943 2,376 35,750 343 25,370 292 13,165 98 4,593 48
3/13/10 1,275,772 8,008 269,335 2,895 33,988 459 24,568 307 12,791 174 4,841 57
3/20/10 1,100,282 14,857 248,563 2,262 25,475 57 22,013 247 11,577 69 3,581 32
3/27/10 1,273,487 9,081 266,681 3,850 31,472 445 24,690 263 12,889 172 4,269 31
4/3/10 1,415,054 10,344 313,076 3,721 50,709 474 25,432 217 13,753 183 5,334 56
4/10/10 1,614,341 14,779 324,518 2,520 85,404 1,135 26,665 265 13,772 97 5,034 31
4/17/10 1,291,897 16,268 300,893 4,274 68,759 656 24,179 245 10,055 100 4,204 59
4/24/10 1,186,242 17,470 272,477 3,611 62,757 344 24,771 316 10,428 81 3,970 60
5/1/10 1,522,932 17,404 331,543 3,780 79,155 752 27,507 303 14,435 121 4,563 45
5/8/10 1,416,303 13,735 306,359 3,308 78,605 817 25,768 206 13,059 90 3,901 31
5/15/10 1,385,551 18,569 268,284 3,147 66,672 365 26,700 227 13,132 194 3,451 14
5/22/10 1,829,172 19,939 307,220 3,269 80,167 762 30,242 320 13,526 118 3,160 15
5/29/10 1,911,303 20,327 316,581 2,843 82,791 568 32,156 369 14,846 169 3,109 6
6/5/10 1,865,386 20,114 306,685 2,776 68,507 564 30,535 285 16,177 168 3,306 35
6/12/10 2,009,495 22,881 318,517 2,752 54,518 855 31,340 275 18,858 169 3,954 49
6/19/10 2,033,222 20,032 318,733 3,437 53,916 579 30,926 302 16,356 144 3,051 44
6/26/10 1,903,457 17,218 291,087 2,824 45,474 640 29,558 303 15,597 114 2,465 23
7/3/10 1,614,366 10,330 266,369 2,739 47,587 411 28,359 294 15,235 148 2,628 28
7/10/10 1,600,672 17,370 277,802 2,827 62,022 258 30,297 338 18,202 157 3,068 35
7/17/10 1,668,871 17,670 304,962 2,476 68,212 156 30,502 296 19,312 182 2,911 25
7/24/10 1,562,909 17,907 302,727 3,318 64,812 337 29,589 271 18,191 179 2,853 12
7/31/10 1,899,312 21,071 349,644 3,469 76,898 927 34,214 331 20,826 202 3,090 39
8/7/10 1,836,826 16,269 330,045 2,833 74,175 809 30,828 381 21,391 133 2,529 12
8/14/10 1,804,854 22,463 331,011 3,153 73,142 605 31,759 281 19,725 154 2,790 17
8/21/10 1,585,034 18,005 338,195 2,957 66,075 460 30,914 341 18,128 175 2,496 35
8/28/10 1,449,906 11,363 392,261 4,497 52,424 417 29,614 325 17,533 211 2,127 1
9/4/10 1,436,312 13,790 323,534 3,017 45,533 402 28,737 250 19,003 190 2,726 28
9/11/10 1,355,926 12,917 332,903 3,612 47,067 603 29,851 384 16,223 125 2,638 24
9/18/10 1,459,093 17,470 303,828 3,187 48,082 412 29,855 326 14,939 141 2,097 2
9/25/10 1,243,298 16,382 271,520 2,993 38,318 618 26,165 233 14,401 181 2,200 34
10/2/10 1,252,752 12,532 275,608 2,270 40,070 661 27,157 255 17,546 177 2,901 21
