RANK|TEAM|G|TDS|PAT|2PT|DEF PTS|FG|SAF|PTS|PPG
1|LSU|15|95|89|1|0|21|1|726|48.4
2|Alabama|13|83|80|0|0|12|0|614|47.2
3|Ohio State|14|88|87|0|0|13|1|656|46.9
4|Clemson|15|88|85|2|0|14|0|659|43.9
5|UCF|13|74|71|1|0|15|1|564|43.4
6|Oklahoma|14|76|75|1|0|19|0|590|42.1
7|SMU|13|73|58|6|0|12|0|544|41.8
8|Memphis|14|71|65|1|1|23|1|566|40.4
9|Appalachian State|14|73|72|0|0|11|0|543|38.8
10|Louisiana|14|69|67|0|0|16|1|531|37.9
11|Washington State|13|62|55|1|1|20|0|491|37.8
12|Navy|13|64|61|1|0|12|0|483|37.2
13|Notre Dame|13|61|61|0|0|17|0|478|36.8
14|Fla. Atlantic|14|65|56|4|1|18|0|510|36.4
15|Penn State|13|61|56|2|0|13|0|465|35.8
16|Oregon|14|67|64|1|0|9|0|495|35.4
17|Texas|13|59|56|2|1|14|0|458|35.2
18|Ball State|12|53|49|2|0|15|1|418|34.8
19|Boise State|14|63|61|1|0|15|0|486|34.7
20|Ohio|13|57|54|1|0|16|0|446|34.3
21|Minnesota|13|59|54|1|0|11|0|443|34.1
-|Air Force|13|58|52|1|1|13|0|443|34.1
23|Wisconsin|14|62|61|0|0|14|1|477|34.1
24|Hawaii|15|68|64|2|0|10|1|508|33.9
25|Troy|12|52|48|1|0|14|1|406|33.8
26|Arkansas State|13|54|53|0|0|19|2|438|33.7
27|Baylor|14|61|57|0|0|16|0|471|33.6
28|Florida|13|55|51|0|0|17|0|432|33.2
-|Auburn|13|54|52|1|0|18|0|432|33.2
30|Western Michigan|13|58|52|0|0|10|0|430|33.1
-|North Carolina|13|53|49|3|0|19|0|430|33.1
-|Tulane|13|56|55|0|0|13|0|430|33.1
-|Louisville|13|58|55|0|0|9|0|430|33.1
34|Liberty|13|56|52|0|0|13|0|427|32.8
35|Oklahoma State|13|52|48|1|0|20|0|422|32.5
-|Southern California|13|54|54|0|0|14|1|422|32.5
-|Louisiana Tech|13|54|53|0|0|15|0|422|32.5
38|Utah|14|60|57|1|0|11|0|452|32.3
39|Iowa State|13|53|49|0|0|17|0|418|32.2
40|Virginia|14|56|51|1|0|20|0|449|32.1
41|Washington|13|51|49|1|0|19|1|416|32
42|Wake Forest|13|49|48|0|0|24|0|414|31.8
43|Indiana|13|51|46|2|0|19|0|413|31.8
44|Michigan|13|52|46|3|0|16|0|412|31.7
45|Louisiana-Monroe|12|51|44|1|0|9|0|379|31.6
46|Buffalo|13|54|50|0|0|11|1|409|31.5
47|Georgia State|13|53|50|1|0|12|0|406|31.2
48|Oregon State|12|52|48|1|0|4|0|374|31.2
49|Virginia Tech|13|49|48|1|0|19|0|401|30.8
50|Georgia|14|50|46|2|0|27|0|431|30.8
51|Houston|12|44|40|2|0|20|0|368|30.7
52|North Texas|12|46|43|0|0|16|0|367|30.6
53|Texas Tech|12|44|40|1|0|20|0|366|30.5
54|Central Michigan|14|55|47|4|0|13|1|426|30.4
55|TCU|12|41|40|0|0|26|0|364|30.3
-|Coastal Carolina|12|46|35|4|0|15|0|364|30.3
57|San Jose State|12|43|37|3|0|20|0|361|30.1
58|Fresno State|12|46|44|1|0|12|1|360|30
59|Charlotte|13|52|42|2|0|10|0|388|29.8
60|Cincinnati|14|52|51|1|1|16|0|415|29.6
