Rk|Coach|From|To|Last School|Yrs|G|W|L|T|Pct|BG|BW|BL|BT|BPct|Notes
1|Eli Abbott|1902|1902|Alabama|1|8|4|4|0|.500|0|0|0|0||
2|Earl Abell|1928|1930|Virginia|3|28|14|12|2|.536|0|0|0|0||
3|Earl Able|1923|1924|Mississippi State|2|18|10|6|2|.611|0|0|0|0||
4|George Adams|1890|1892|Harvard|3|36|34|2|0|.944|0|0|0|0||
5|Hobbs Adams|1940|1946|Kansas State|3|27|4|21|2|.185|0|0|0|0||
6|Steve Addazio|2011|2019|Boston College|9|112|57|55|0|.509|5|2|3|0|.400|
7|Alex Agase|1964|1976|Purdue|13|135|50|83|2|.378|0|0|0|0||
8|Phil Ahwesh|1949|1949|Duquesne|1|9|3|6|0|.333|0|0|0|0||
9|Jim Aiken|1946|1950|Oregon|5|50|28|22|0|.560|1|0|1|0|.000|
10|Fred Akers|1975|1990|Purdue|16|186|108|75|3|.589|10|2|8|0|.200|
11|Robb Akey|2007|2012|Idaho|6|70|20|50|0|.286|1|1|0|0|1.000|
12|Ray Alborn|1978|1983|Rice|6|66|13|53|0|.197|0|0|0|0||
13|Luman Aldrich|1877|1877|Tufts|1|3|0|3|0|.000|0|0|0|0||
14|S.M. Alexander|1923|1923|Duke|1|9|5|4|0|.556|0|0|0|0||
15|William Alexander|1920|1944|Georgia Tech|25|244|134|95|15|.580|5|3|2|0|.600|
16|George Allen|1927|1932|Colorado Mines|6|42|9|32|1|.226|0|0|0|0||
17|George Allen|1990|1990|Long Beach State|1|11|6|5|0|.545|0|0|0|0||
18|Phog Allen|1920|1920|Kansas|1|8|5|2|1|.688|0|0|0|0||
19|Pokey Allen|1996|1996|Boise State|1|2|1|1|0|.500|0|0|0|0||
20|Terry Allen|1997|2001|Kansas|5|53|20|33|0|.377|0|0|0|0||record adjusted to 21-32-0 by NCAA
21|Tom Allen|2016|2019|Indiana|4|38|18|20|0|.474|2|0|2|0|.000|
22|Dave Allerdice|1911|1915|Texas|5|40|33|7|0|.825|0|0|0|0||
23|Tom Alley|1973|1974|Louisville|2|22|9|13|0|.409|0|0|0|0||
24|Stub Allison|1920|1944|California|11|108|59|47|2|.556|1|1|0|0|1.000|
25|Billy Alton|1981|1981|Texas-El Paso|1|9|1|8|0|.111|0|0|0|0||
26|Barry Alvarez|1990|2014|Wisconsin|18|197|118|75|4|.609|13|9|4|0|.692|record adjusted to 119-74-4 by NCAA
27|Chuck Amato|2000|2006|North Carolina State|7|86|49|37|0|.570|5|4|1|0|.800|
28|Paul Amen|1956|1959|Wake Forest|4|40|11|26|3|.313|0|0|0|0||
29|Knowlton Ames|1892|1892|Purdue|1|18|13|3|2|.778|0|0|0|0||
30|William Amos|1929|1931|Washington & Jefferson|3|28|17|8|3|.661|0|0|0|0||
31|Tom Amstutz|2001|2008|Toledo|8|99|58|41|0|.586|4|2|2|0|.500|
32|Gary Andersen|2009|2019|Oregon State|10|119|59|60|0|.496|4|1|3|0|.250|
33|Blake Anderson|2014|2019|Arkansas State|6|77|47|30|0|.610|6|2|4|0|.333|
34|Dick Anderson|1984|1989|Rutgers|6|65|27|34|4|.446|0|0|0|0||record adjusted to 28-33-4 by NCAA
35|Edward Anderson|1938|1964|Iowa|24|225|125|94|6|.569|0|0|0|0||
36|Frank Anderson|1919|1919|Mississippi College|1|9|3|5|1|.389|0|0|0|0||
37|Frank Anderson|1919|1920|Oglethorpe|2|18|6|10|2|.389|0|0|0|0||
38|Harry Anderson|1965|1968|San Jose State|4|39|13|26|0|.333|0|0|0|0||
39|Hunk Anderson|1931|1936|North Carolina State|6|56|27|26|3|.509|0|0|0|0||
40|John Anderson|1918|1981|Brown|10|89|52|34|3|.601|0|0|0|0||
41|Lew Andreas|1927|1929|Syracuse|3|28|15|10|3|.589|0|0|0|0||
42|W. Gresham Andrews|1913|1913|Princeton|1|8|5|2|1|.688|0|0|0|0||
43|Dee Andros|1962|1975|Oregon State|14|144|62|80|2|.438|0|0|0|0||
44|Moe Ankney|1986|1990|Bowling Green State|5|54|20|31|3|.398|0|0|0|0||
45|William Ankney|1963|1964|Dayton|2|20|4|14|2|.250|0|0|0|0||
46|Major Applewhite|2016|2018|Houston|3|26|15|11|0|.577|3|0|3|0|.000|
47|Garrett Arbelbide|1937|1939|Northern Arizona|3|27|8|17|2|.333|0|0|0|0||
48|Phillip Arbuckle|1914|1923|Rice|9|75|44|23|8|.640|0|0|0|0||
49|Mike Archer|1987|1990|Louisiana State|4|46|27|18|1|.598|2|1|1|0|.500|
50|Bruce Arians|1983|1988|Temple|6|66|27|39|0|.409|0|0|0|0||record adjusted to 22-44-0 by NCAA
51|Ike Armstrong|1925|1949|Utah|25|211|141|55|15|.704|1|1|0|0|1.000|
