Cohort Year|School|Conference|Sport|State|GSR|FGR
2012|Abilene Christian|Southland Conference|Football|TX|70|47
2012|Alabama A&M|Southwestern AthleticConference|Football|AL|59|49
2012|Alabama State|Southwestern AthleticConference|Football|AL|58|39
2012|Alcorn State|Southwestern AthleticConference|Football|MS|58|40
2012|Appalachian State|Sun Belt Conference|Football|NC|75|67
2012|Arizona State|Pac-12 Conference|Football|AZ|75|60
2012|Arkansas State|Sun Belt Conference|Football|AR|80|62
2012|Auburn|Southeastern Conference|Football|AL|76|67
2012|Austin Peay State|Ohio Valley Conference|Football|TN|72|63
2012|Ball State|Mid-American Conference|Football|IN|73|63
2012|Baylor|Big 12 Conference|Football|TX|90|61
2012|Bethune-Cookman|Mid-Eastern AthleticConference|Football|FL|66|49
2012|Boise State|Mountain West Conference|Football|ID|87|63
2012|Boston College|Atlantic Coast Conference|Football|MA|90|81
2012|Bowling Green|Mid-American Conference|Football|OH|80|69
2012|BYU|Independent|Football|UT|64|43
2012|Brown|The Ivy League|Football|RI|95|
2012|Bryant|Northeast Conference|Football|RI|92|77
2012|Bucknell|Patriot League|Football|PA|91|78
2012|Butler|Pioneer Football League|Football|IN|85|
2012|California Polytechnic State|Big Sky Conference|Football|CA|73|70
2012|Fresno State|Mountain West Conference|Football|CA|78|65
2012|California State Sacramento|Big Sky Conference|Football|CA|57|32
2012|Campbell|Big South Conference|Football|NC|91|70
2012|Central Connecticut State|Northeast Conference|Football|CT|66|54
2012|Central Michigan|Mid-American Conference|Football|MI|77|64
2012|Charleston Southern|Big South Conference|Football|SC|59|48
2012|Clemson|Atlantic Coast Conference|Football|SC|81|61
2012|Coastal Carolina|Sun Belt Conference|Football|SC|79|59
2012|Colgate|Patriot League|Football|NY|91|80
2012|College of the Holy Cross|Patriot League|Football|MA|97|84
2012|Colorado State|Mountain West Conference|Football|CO|77|68
2012|Columbia -Barnard College|The Ivy League|Football|NY|98|
2012|Cornell|The Ivy League|Football|NY|96|
2012|Dartmouth College|The Ivy League|Football|NH|100|
2012|Davidson College|Pioneer Football League|Football|NC|92|
2012|Delaware State|Mid-Eastern AthleticConference|Football|DE|74|60
2012|Drake|Pioneer Football League|Football|IA|89|100
2012|Duke|Atlantic Coast Conference|Football|NC|96|90
2012|Duquesne|Northeast Conference|Football|PA|80|72
2012|East Carolina|American Athletic Conference|Football|NC|76|73
2012|Eastern Illinois|Ohio Valley Conference|Football|IL|69|58
2012|Eastern Kentucky|Ohio Valley Conference|Football|KY|79|61
2012|Eastern Michigan|Mid-American Conference|Football|MI|69|52
2012|Eastern Washington|Big Sky Conference|Football|WA|74|62
2012|Elon|Colonial Athletic Association|Football|NC|96|76
2012|Florida A&M|Mid-Eastern AthleticConference|Football|FL|56|47
2012|FAU|Conference USA|Football|FL|70|61
2012|FIU|Conference USA|Football|FL|69|58
2012|Florida State|Atlantic Coast Conference|Football|FL|60|43
2012|Fordham|Patriot League|Football|NY|84|74
2012|Furman|Southern Conference|Football|SC|82|76
2012|Gardner-Webb|Big South Conference|Football|NC|67|51
2012|Georgetown|Patriot League|Football|DC|97|88
2012|Georgia Tech|Atlantic Coast Conference|Football|GA|87|75
2012|Georgia Southern|Sun Belt Conference|Football|GA|67|56
2012|Georgia State|Sun Belt Conference|Football|GA|74|66
2012|Grambling State|Southwestern AthleticConference|Football|LA|64|53
2012|Hampton|Independent|Football|VA|72|57
2012|Harvard|The Ivy League|Football|MA|99|
2012|Houston Baptist|Southland Conference|Football|TX|100|
2012|Howard|Mid-Eastern AthleticConference|Football|DC|71|67
2012|Idaho State|Big Sky Conference|Football|ID|80|54
2012|Illinois State|Missouri Valley Football Conference|Football|IL|80|61
2012|Indiana State|Missouri Valley Football Conference|Football|IN|72|53
2012|Indiana|Big Ten Conference|Football|IN|87|70
2012|Iowa State|Big 12 Conference|Football|IA|87|66
2012|Jackson State|Southwestern AthleticConference|Football|MS|75|52
2012|Jacksonville State|Ohio Valley Conference|Football|AL|67|56
2012|Jacksonville|Pioneer Football League|Football|FL|76|
2012|James Madison|Colonial Athletic Association|Football|VA|77|66
2012|Kansas State|Big 12 Conference|Football|KS|85|69
2012|Kennesaw State|Big South Conference|Football|GA|100|
2012|Kent State|Mid-American Conference|Football|OH|73|52
2012|Lafayette College|Patriot League|Football|PA|97|76
2012|Lamar|Southland Conference|Football|TX|67|61
2012|Lehigh|Patriot League|Football|PA|78|73
2012|Liberty|Independent|Football|VA|67|65
2012|LSU|Southeastern Conference|Football|LA|71|31
2012|Louisiana Tech|Conference USA|Football|LA|62|51
2012|Marist College|Pioneer Football League|Football|NY|80|100
2012|Marshall|Conference USA|Football|WV|80|57
2012|McNeese State|Southland Conference|Football|LA|75|75
2012|Mercer|Southern Conference|Football|GA|67|
2012|Miami (Ohio)|Mid-American Conference|Football|OH|89|77
2012|Michigan State|Big Ten Conference|Football|MI|90|78
2012|MTSU|Conference USA|Football|TN|95|76
2012|Mississippi State|Southeastern Conference|Football|MS|78|69
2012|Mississippi Valley State|Southwestern AthleticConference|Football|MS|88|44
2012|Missouri State|Missouri Valley Football Conference|Football|MO|65|56
2012|Monmouth|Big South Conference|Football|NJ|78|67
2012|Montana State -Bozeman|Big Sky Conference|Football|MT|76|62
2012|Morehead State|Pioneer Football League|Football|KY|64|
2012|Morgan State|Mid-Eastern AthleticConference|Football|MD|59|55
2012|Murray State|Ohio Valley Conference|Football|KY|86|56
2012|New Mexico State|Independent|Football|NM|74|52
2012|Nicholls State|Southland Conference|Football|LA|73|62
2012|Norfolk State|Mid-Eastern AthleticConference|Football|VA|67|58
2012|North Carolina A&T State|Mid-Eastern AthleticConference|Football|NC|59|52
2012|North Carolina Central|Mid-Eastern AthleticConference|Football|NC|68|45
2012|NC State|Atlantic Coast Conference|Football|NC|71|54
2012|North Dakota State|Missouri Valley Football Conference|Football|ND|70|55
2012|Northern Arizona|Big Sky Conference|Football|AZ|82|60
2012|Northern Illinois|Mid-American Conference|Football|IL|88|67
2012|Northwestern State|Southland Conference|Football|LA|76|61
2012|Northwestern|Big Ten Conference|Football|IL|100|93
2012|Ohio|Mid-American Conference|Football|OH|86|69
2012|Oklahoma State|Big 12 Conference|Football|OK|54|42
2012|Old Dominion|Conference USA|Football|VA|63|48
2012|Oregon State|Pac-12 Conference|Football|OR|70|58
2012|Penn State|Big Ten Conference|Football|PA|86|70
2012|Portland State|Big Sky Conference|Football|OR|71|63
2012|Prairie View A&M|Southwestern AthleticConference|Football|TX|60|52
2012|Presbyterian College|Big South Conference|Football|SC|72|56
2012|Princeton|The Ivy League|Football|NJ|97|100
2012|Purdue|Big Ten Conference|Football|IN|80|64
2012|Rice|Conference USA|Football|TX|87|80
2012|Robert Morris|Northeast Conference|Football|PA|67|43
2012|Rutgers|Big Ten Conference|Football|NJ|76|55
2012|Sacred Heart|Northeast Conference|Football|CT|77|59
2012|Saint Francis (Pennsylvania)|Northeast Conference|Football|PA|74|55
2012|Sam Houston State|Southland Conference|Football|TX|59|52
2012|Samford|Southern Conference|Football|AL|95|83
2012|San Diego State|Mountain West Conference|Football|CA|78|74
2012|San Jose State|Mountain West Conference|Football|CA|78|71
2012|South Carolina State|Mid-Eastern AthleticConference|Football|SC|72|68
2012|South Dakota State|Missouri Valley Football Conference|Football|SD|75|64
2012|Southeast Missouri State|Ohio Valley Conference|Football|MO|69|63
2012|Southeastern Louisiana|Southland Conference|Football|LA|72|57
2012|Southern Illinois at Carbondale|Missouri Valley Football Conference|Football|IL|80|61
2012|SMU|American Athletic Conference|Football|TX|72|63
2012|Southern Baton Rouge|Southwestern AthleticConference|Football|LA|50|42
2012|Southern Utah|Big Sky Conference|Football|UT|69|60
2012|Stanford|Pac-12 Conference|Football|CA|91|88
2012|Stephen F. Austin State|Southland Conference|Football|TX|54|38
2012|Stony Brook|Colonial Athletic Association|Football|NY|84|64
2012|Syracuse|Atlantic Coast Conference|Football|NY|85|74
2012|Temple|American Athletic Conference|Football|PA|88|72
2012|Tennessee State|Ohio Valley Conference|Football|TN|49|36
2012|Tennessee Technological|Ohio Valley Conference|Football|TN|85|74
2012|Texas A&M|Southeastern Conference|Football|TX|73|61
2012|TCU|Big 12 Conference|Football|TX|67|52
2012|Texas Southern|Southwestern AthleticConference|Football|TX|77|47
2012|Texas State|Sun Belt Conference|Football|TX|71|62
2012|Texas Tech|Big 12 Conference|Football|TX|74|61
2012|The Citadel|Southern Conference|Football|SC|87|69
2012|Ohio State|Big Ten Conference|Football|OH|63|45
2012|Charlotte|Conference USA|Football|NC|80|
2012|Southern Mississippi|Conference USA|Football|MS|72|58
2012|Tulsa|American Athletic Conference|Football|OK|78|72
2012|Towson|Colonial Athletic Association|Football|MD|78|56
2012|Troy|Sun Belt Conference|Football|AL|74|55
2012|Tulane|American Athletic Conference|Football|LA|89|73
2012|Air Force|Mountain West Conference|Football|CO|80|
2012|Army|Independent|Football|NY|87|
2012|Navy|American Athletic Conference|Football|MD|83|
2012|Buffalo|Mid-American Conference|Football|NY|79|64
2012|Akron|Mid-American Conference|Football|OH|75|61
2012|Alabama|Southeastern Conference|Football|AL|85|65
2012|UAB|Conference USA|Football|AL|71|51
